"pointid","grid_code","PRESENCE","Longitude","Latitude"
"412","1","1",-179.404935336054,-16.623229751702
"413","1","1",-179.394935336054,-16.623229751702
"414","1","1",179.555064663946,-16.623229751702
"415","1","1",-179.404935336054,-16.633229751702
"416","1","1",178.505064663946,-16.633229751702
"417","1","1",178.545064663946,-16.633229751702
"418","1","1",178.575064663946,-16.633229751702
"419","1","1",179.545064663946,-16.633229751702
"420","1","1",179.935064663946,-16.633229751702
"421","1","1",-179.434935336054,-16.643229751702
"422","1","1",178.495064663946,-16.643229751702
"423","1","1",178.595064663946,-16.643229751702
"424","1","1",179.575064663946,-16.643229751702
"425","1","1",-179.434935336054,-16.653229751702
"426","1","1",-179.424935336054,-16.653229751702
"427","1","1",178.465064663946,-16.653229751702
"428","1","1",179.515064663946,-16.653229751702
"429","1","1",179.525064663946,-16.653229751702
"430","1","1",179.545064663946,-16.653229751702
"431","1","1",-179.424935336054,-16.663229751702
"432","1","1",178.495064663946,-16.663229751702
"433","1","1",179.565064663946,-16.663229751702
"434","1","1",179.675064663946,-16.663229751702
"435","1","1",-179.434935336054,-16.673229751702
"436","1","1",177.595064663946,-16.673229751702
"437","1","1",179.865064663946,-16.673229751702
"438","1","1",178.485064663946,-16.683229751702
"439","1","1",179.505064663946,-16.683229751702
"440","1","1",179.655064663946,-16.683229751702
"441","1","1",-179.444935336054,-16.693229751702
"442","1","1",177.565064663946,-16.693229751702
"443","1","1",179.495064663946,-16.693229751702
"444","1","1",179.875064663946,-16.693229751702
"445","1","1",-179.444935336054,-16.703229751702
"446","1","1",177.575064663946,-16.703229751702
"447","1","1",178.515064663946,-16.703229751702
"448","1","1",178.535064663946,-16.703229751702
"449","1","1",179.195064663946,-16.703229751702
"450","1","1",179.205064663946,-16.703229751702
"451","1","1",179.225064663946,-16.703229751702
"452","1","1",179.235064663946,-16.703229751702
"453","1","1",179.625064663946,-16.703229751702
"454","1","1",-179.554935336054,-16.713229751702
"455","1","1",178.475064663946,-16.713229751702
"456","1","1",179.195064663946,-16.713229751702
"457","1","1",179.295064663946,-16.713229751702
"458","1","1",-179.454935336054,-16.723229751702
"459","1","1",177.585064663946,-16.723229751702
"460","1","1",178.475064663946,-16.723229751702
"461","1","1",178.535064663946,-16.723229751702
"462","1","1",179.175064663946,-16.723229751702
"463","1","1",179.315064663946,-16.723229751702
"464","1","1",179.505064663946,-16.723229751702
"465","1","1",179.905064663946,-16.723229751702
"466","1","1",-179.744935336054,-16.733229751702
"467","1","1",177.565064663946,-16.733229751702
"468","1","1",179.345064663946,-16.733229751702
"469","1","1",179.505064663946,-16.733229751702
"470","1","1",179.585064663946,-16.733229751702
"471","1","1",179.705064663946,-16.733229751702
"472","1","1",179.725064663946,-16.733229751702
"473","1","1",179.745064663946,-16.733229751702
"474","1","1",179.755064663946,-16.733229751702
"475","1","1",179.765064663946,-16.733229751702
"476","1","1",179.795064663946,-16.733229751702
"477","1","1",-179.104935336054,-16.743229751702
"478","1","1",177.565064663946,-16.743229751702
"479","1","1",179.155064663946,-16.743229751702
"480","1","1",179.655064663946,-16.743229751702
"481","1","1",179.695064663946,-16.743229751702
"482","1","1",179.705064663946,-16.743229751702
"483","1","1",179.715064663946,-16.743229751702
"484","1","1",179.725064663946,-16.743229751702
"485","1","1",179.735064663946,-16.743229751702
"486","1","1",179.745064663946,-16.743229751702
"487","1","1",179.755064663946,-16.743229751702
"488","1","1",179.765064663946,-16.743229751702
"489","1","1",179.775064663946,-16.743229751702
"490","1","1",179.785064663946,-16.743229751702
"491","1","1",179.795064663946,-16.743229751702
"492","1","1",179.815064663946,-16.743229751702
"493","1","1",179.925064663946,-16.743229751702
"494","1","1",179.955064663946,-16.743229751702
"495","1","1",-179.124935336054,-16.753229751702
"496","1","1",-179.104935336054,-16.753229751702
"497","1","1",178.475064663946,-16.753229751702
"498","1","1",179.145064663946,-16.753229751702
"499","1","1",179.155064663946,-16.753229751702
"500","1","1",179.525064663946,-16.753229751702
"501","1","1",179.635064663946,-16.753229751702
"502","1","1",179.665064663946,-16.753229751702
"503","1","1",179.675064663946,-16.753229751702
"504","1","1",179.685064663946,-16.753229751702
"505","1","1",179.695064663946,-16.753229751702
"506","1","1",179.705064663946,-16.753229751702
"507","1","1",179.805064663946,-16.753229751702
"508","1","1",179.845064663946,-16.753229751702
"509","1","1",-179.964935336054,-16.763229751702
"510","1","1",-179.124935336054,-16.763229751702
"511","1","1",-179.094935336054,-16.763229751702
