"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","BO_bathymax","MS_bathy_5m","Protected_Areas"
0,148.291666666667,-13.375,340,34.7185935974121,1.5395575761795,1.56044709682465,0.020889526233077,0.121895395219326,0.0299999993294477,0.0700000002980232,345,-0.370000004768372,-4310,-4326,4
0,148.375,-13.375,341,34.7185935974121,1.53955745697021,1.56044697761536,0.0208895187824965,0.115105964243412,0.0299999993294477,0.569999992847443,349,0.0399999991059303,-4324,-4348,4
0,148.458333333333,-13.375,342,34.7185935974121,1.90609300136566,1.92843222618103,0.022339291870594,0.121970422565937,0.0500000007450581,0.330000013113022,347,-0.140000000596046,-4353,-4371,4
0,148.541666666667,-13.375,343,34.7185935974121,1.8916038274765,1.91381108760834,0.0222073346376419,0.119600243866444,0.100000001490116,0.119999997317791,345,-0.600000023841858,-4326,-4406,2.68341691673163
0,148.625,-13.375,344,34.7185935974121,1.90010559558868,1.92239034175873,0.0222847387194633,0.102741532027721,0.0900000035762787,-0.439999997615814,342,-0.439999997615814,-4316,-4331,1.99675836734708
0,148.708333333333,-13.375,345,34.7185935974121,1.90630638599396,1.92870140075684,0.0223949886858463,0.0950767770409584,0.0700000002980232,0.839999973773956,339,0.5,-4333,-4353,1.99675836734708
0,148.791666666667,-13.375,346,34.7185935974121,1.90198016166687,1.92433571815491,0.0223555490374565,0.102062560617924,0.0399999991059303,-0.0799999982118607,335,0.790000021457672,-4381,-4408,0.682039187669542
0,148.875,-13.375,347,34.7185935974121,1.90063416957855,1.92297744750977,0.0223432686179876,0.104066394269466,0.0599999986588955,0.469999998807907,331,0.439999997615814,-4357,-4412,0
0,148.958333333333,-13.375,348,34.7185935974121,1.87794327735901,1.90007972717285,0.0221363995224237,0.120542280375957,0.0500000007450581,0.109999999403954,327,-0.790000021457672,-4373,-4435,0
0,149.041666666667,-13.375,349,34.7185935974121,1.87772762775421,1.89986193180084,0.022134380415082,0.132047280669212,0.0399999991059303,0.379999995231628,324,0.119999997317791,-4382,-4465,0
0,149.125,-13.375,350,34.7185935974121,1.90343856811523,1.9258074760437,0.022368811070919,0.135835558176041,0.100000001490116,-0.589999973773956,320,-0.550000011920929,-4373,-4430,0
0,149.208333333333,-13.375,351,34.7185935974121,1.53608083724976,1.55603969097137,0.0199588555842638,0.138120263814926,0.159999996423721,-0.479999989271164,317,-0.680000007152557,-4385,-4273,0
0,149.291666666667,-13.375,352,34.7185935974121,1.53608083724976,1.55603969097137,0.0199588406831026,0.13886621594429,0.100000001490116,0.529999971389771,314,-0.550000011920929,-4398,-4278,0
0,149.375,-13.375,353,34.7185935974121,1.53608083724976,1.55603969097137,0.0199587941169739,0.144519075751305,0.0599999986588955,0.439999997615814,311,0.400000005960464,-4363,-4339,0
0,149.458333333333,-13.375,354,34.7185935974121,1.53608083724976,1.55603969097137,0.0199587922543287,0.170778453350067,0.0799999982118607,0.75,308,-0.150000005960464,-4360,-4405,0
0,149.541666666667,-13.375,355,34.7185935974121,1.53608083724976,1.55603969097137,0.0199587848037481,0.18185943365097,0.0599999986588955,0.759999990463257,305,-0.589999973773956,-4474,-4504,0
0,149.625,-13.375,356,34.7185935974121,1.53608083724976,1.55603969097137,0.0199587848037481,0.173103332519531,0.0199999995529652,0.230000004172325,303,-0.660000026226044,-4525,-4544,0
0,149.708333333333,-13.375,357,34.7185935974121,1.53258907794952,1.55266213417053,0.0200730934739113,0.152188614010811,0.0399999991059303,-0.219999998807907,300,-0.509999990463257,-4547,-4546,0
0,149.791666666667,-13.375,358,34.7185554504395,1.53258979320526,1.55266284942627,0.0200730729848146,0.149990290403366,0.0700000002980232,0.519999980926514,298,-0.46000000834465,-4588,-4538,0
0,149.875,-13.375,359,34.7184829711914,1.53259027004242,1.55266320705414,0.020073039457202,0.14616933465004,0.0399999991059303,0.779999971389771,296,-0.119999997317791,-4630,-4609,0
0,149.958333333333,-13.375,360,34.7184829711914,1.53258967399597,1.55266273021698,0.0200730450451374,0.155859246850014,0.0500000007450581,0.119999997317791,294,-0.0500000007450581,-4624,-4648,0
0,144.041666666667,-13.4583333333333,361,34.4939231872559,4.27379989624023,4.63980197906494,0.366002202033997,0.169028893113136,0.330000013113022,0.129999995231628,46,0.419999986886978,-1,-78,2.77030354015506
0,144.125,-13.4583333333333,362,34.6929473876953,1.88553833961487,1.95059084892273,0.0650524944067001,0.109120026230812,1.25,0.939999997615814,54,0.209999993443489,-116,-1198,3.49876925570236
0,144.208333333333,-13.4583333333333,363,34.6929473876953,1.7121057510376,1.73557507991791,0.0234692879021168,0.112990334630013,0.579999983310699,0.319999992847443,63,0.529999971389771,-1766,-2234,3.49876925570236
0,144.291666666667,-13.4583333333333,364,34.7136497497559,1.71211791038513,1.7355809211731,0.0234630219638348,0.106472752988338,0.490000009536743,0.75,69,0.639999985694885,-2038,-2734,3.49876925570236
0,144.375,-13.4583333333333,365,34.7136497497559,1.71210598945618,1.7355751991272,0.0234692003577948,0.110759794712067,0.170000001788139,-0.519999980926514,70,0.629999995231628,-2730,-2942,4.45538095146283
0,144.458333333333,-13.4583333333333,366,34.7135772705078,1.71285784244537,1.7357919216156,0.0229340344667435,0.126053482294083,0.0399999991059303,-0.189999997615814,72,0.670000016689301,-2799,-2823,5
0,144.541666666667,-13.4583333333333,367,34.7135772705078,1.71312165260315,1.73520863056183,0.0220869742333889,0.0921502262353897,0.0500000007450581,-0.219999998807907,74,0.519999980926514,-2807,-2823,5
0,144.625,-13.4583333333333,368,34.7135772705078,1.71312165260315,1.73520863056183,0.0220869705080986,0.0886596590280533,0.100000001490116,-0.340000003576279,75,-0.779999971389771,-2822,-2737,5
0,144.708333333333,-13.4583333333333,369,34.7135772705078,1.71312177181244,1.73520874977112,0.0220869779586792,0.0737707912921906,0.0799999982118607,0.150000005960464,76,-0.939999997615814,-2805,-2738,5
